Lefebvre Georges (1874-08-06 00:00:00) - Napóleon (963280256X) Gondolat [1975] ár:1500.0 Ft, témája:történelem, oldaszáma:783, honoránium:160.0 Ft 
King Stephen (1947-09-21 00:00:00) - Álomcsapda (9630779501) EURÓPA KÖNYVKIADÓ KFT. [2006] ár:1870.0 Ft, témája:sci-fi, oldaszáma:752, honoránium:90.0 Ft 
King Stephen (1947-09-21 00:00:00) - Hasznos holmik (9630778246) EURÓPA KÖNYVKIADÓ KFT. [2005] ár:1683.0 Ft, témája:horror, oldaszáma:720, honoránium:738.0 Ft 
Castelot André (1911-01-23 00:00:00) - Napóleon (9500274612) EURÓPA KÖNYVKIADÓ KFT. [2004] ár:2300.0 Ft, témája:történelem, oldaszáma:653, honoránium:247.0 Ft 
Fowler Martin (1963-09-21 00:00:00) - Domain-Specific Languages (9780321712943) Addison-Wesley Professional [2010] ár:8735.0 Ft, témája:informatika, oldaszáma:640, honoránium:58.0 Ft 
Allaby Michael (1933-04-06 00:00:00) - A Föld enciklopédiája (9789630961615) KOSSUTH KIADÓ ZRT. [2010] ár:9491.0 Ft, témája:természettudomány, oldaszáma:608, honoránium:881.0 Ft 
Hutchinson Robert (1957-11-12 00:00:00) - A Föld enciklopédiája (9789630961615) KOSSUTH KIADÓ ZRT. [2010] ár:9491.0 Ft, témája:természettudomány, oldaszáma:608, honoránium:27.0 Ft 
King Stephen (1947-09-21 00:00:00) - A tűzgyújtó (9789630786836) EURÓPA KÖNYVKIADÓ KFT. [2010] ár:3040.0 Ft, témája:krimi, oldaszáma:520, honoránium:333.0 Ft 
Sparks John (1943-08-11 00:00:00) - Az óceán (9789639693456) Mérték Kiadó [2007] ár:11042.0 Ft, témája:természettudomány, oldaszáma:512, honoránium:706.0 Ft 
Dinwiddie Robert (1963-07-27 00:00:00) - Az óceán (9789639693456) Mérték Kiadó [2007] ár:11042.0 Ft, témája:természettudomány, oldaszáma:512, honoránium:186.0 Ft 
Dinwiddie Robert (1963-07-27 00:00:00) - Az univerzum (963-967-800-7) IKAR Kiadó [2007] ár:11042.0 Ft, témája:természettudomány, oldaszáma:512, honoránium:749.0 Ft 
Eales Philip (1970-05-05 00:00:00) - Az óceán (9789639693456) Mérték Kiadó [2007] ár:11042.0 Ft, témája:természettudomány, oldaszáma:512, honoránium:483.0 Ft 
Eales Philip (1970-05-05 00:00:00) - Az univerzum (963-967-800-7) IKAR Kiadó [2007] ár:11042.0 Ft, témája:természettudomány, oldaszáma:512, honoránium:737.0 Ft 
Cousteau Fabien (1890-09-15 00:00:00) - Az óceán (9789639693456) Mérték Kiadó [2007] ár:11042.0 Ft, témája:természettudomány, oldaszáma:512, honoránium:990.0 Ft 
Fable Vavyan (1956-03-20 00:00:00) - Ébredj velem! (9639300200) Tóthágas Kiadó [2007] ár:1668.0 Ft, témája:krimi, oldaszáma:490, honoránium:14.0 Ft 
